Dataset	Alignment	AliFilter	BMGE	ClipKIT	Gblocks	Noisy	trimAl
Dataset1	35	628,263,0,3	615,263,0,16	631,102,161,0	557,263,0,74	544,187,76,87	628,263,0,3
Dataset1	36	522,694,0,80	417,694,0,185	602,270,424,0	326,694,0,276	568,455,239,34	237,694,0,365
Dataset1	37	692,76,0,0	679,76,0,13	692,57,19,0	647,76,0,45	668,40,36,24	689,76,0,3
Dataset1	38	349,156,1,2	334,157,0,17	351,50,107,0	280,157,0,71	288,95,62,63	346,157,0,5
Dataset1	39	640,107,0,6	625,107,0,21	646,54,53,0	567,107,0,79	570,64,43,76	609,107,0,37
Dataset1	4	161,1,0,0	161,1,0,0	161,0,1,0	158,1,0,3	144,0,1,17	161,1,0,0
Dataset1	40	633,191,0,3	599,191,0,37	636,111,80,0	504,191,0,132	560,152,39,76	601,191,0,35
Dataset1	41	453,274,0,3	435,274,0,21	456,48,226,0	355,274,0,101	412,96,178,44	448,274,0,8
Dataset1	42	103,78,0,0	103,78,0,0	103,25,53,0	100,78,0,3	71,77,1,32	102,78,0,1
Dataset1	43	428,71,0,11	413,71,0,26	439,40,31,0	360,71,0,79	394,49,22,45	414,71,0,25
Dataset1	44	327,31,0,1	326,31,0,2	328,23,8,0	325,31,0,3	225,24,7,103	325,31,0,3
Dataset1	44b	332,77,2,15	324,79,0,23	347,42,37,0	281,79,0,66	260,52,27,87	322,79,0,25
Dataset1	45	212,74,0,2	200,74,0,14	214,33,41,0	160,74,0,54	179,55,19,35	192,74,0,22
Dataset1	46	177,87,0,5	144,87,0,38	182,45,42,0	116,87,0,66	134,84,3,48	125,87,0,57
Dataset1	47	177,76,0,13	176,76,0,14	190,56,20,0	166,76,0,24	142,42,34,48	169,76,0,21
Dataset1	47b	164,21,0,4	163,21,0,5	168,13,8,0	153,21,0,15	102,20,1,66	161,21,0,7
Dataset1	48	621,104,0,11	576,104,0,56	632,53,51,0	508,104,0,124	563,77,27,69	617,104,0,15
Dataset1	49	173,24,0,3	168,24,0,8	176,14,10,0	159,24,0,17	126,16,8,50	167,24,0,9
Dataset1	5	161,2,0,0	161,2,0,0	161,1,1,0	159,2,0,2	137,0,2,24	161,2,0,0
Dataset1	50	238,26,0,0	232,26,0,6	238,20,6,0	214,26,0,24	210,18,8,28	234,26,0,4
Dataset1	51	287,20,0,0	287,20,0,0	287,11,9,0	266,20,0,21	243,11,9,44	287,20,0,0
Dataset1	52	210,312,0,1	202,312,0,9	211,230,82,0	174,312,0,37	179,288,24,32	210,312,0,1
Dataset1	53	181,18,0,1	179,18,0,3	182,11,7,0	167,18,0,15	146,13,5,36	178,18,0,4
Dataset1	54	152,53,0,0	152,53,0,0	152,11,42,0	114,53,0,38	137,36,17,15	146,53,0,6
